iter	Passed	Remaining
0	3	330
1	6	305
2	9	295
3	11	273
4	14	271
5	17	268
6	20	266
7	22	261
8	25	257
9	28	255
10	31	251
11	33	249
12	36	245
13	38	237
14	40	231
15	42	225
16	44	218
17	46	210
18	47	204
19	49	198
20	51	191
21	52	185
22	53	180
23	55	174
24	56	170
25	57	164
26	58	159
27	60	154
28	61	149
29	62	145
30	63	140
31	64	136
32	65	132
33	66	128
34	67	124
35	68	121
36	68	117
37	69	114
38	70	110
39	71	107
40	72	104
41	72	100
42	73	97
43	74	94
44	75	92
45	76	89
46	77	86
47	77	84
48	78	81
49	79	79
50	80	77
51	81	74
52	81	72
53	82	70
54	83	68
55	84	66
56	84	64
57	85	61
58	86	60
59	87	58
60	88	56
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	92	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	97	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	106	20
84	107	19
85	108	17
86	109	16
87	110	15
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	119	0
