iter	Passed	Remaining
0	161	161484
1	165	82592
2	169	56297
3	173	43223
4	178	35522
5	182	30227
6	187	26531
7	191	23770
8	195	21557
9	201	19912
10	206	18531
11	210	17293
12	213	16221
13	217	15352
14	222	14604
15	225	13894
16	232	13421
17	235	12858
18	239	12357
19	245	12019
20	250	11676
21	254	11296
22	258	10968
23	262	10672
24	266	10384
25	270	10118
26	274	9886
27	278	9666
28	282	9466
29	287	9296
30	293	9181
31	299	9059
32	304	8917
33	308	8778
34	311	8595
35	314	8431
36	317	8272
37	319	8100
38	322	7938
39	324	7778
40	325	7622
41	327	7470
42	329	7337
43	331	7200
44	333	7067
45	334	6936
46	335	6811
47	337	6690
48	338	6573
49	340	6466
50	343	6384
51	344	6283
52	346	6183
53	347	6094
54	349	6002
55	350	5913
56	352	5830
57	353	5744
58	355	5666
59	356	5591
60	358	5523
61	360	5452
62	361	5379
63	363	5310
64	364	5243
65	366	5180
66	367	5116
67	368	5053
68	370	4994
69	371	4936
70	373	4884
71	374	4829
72	375	4773
73	377	4719
74	378	4667
75	379	4615
76	380	4564
77	381	4514
78	383	4466
79	384	4422
80	385	4378
81	387	4339
82	388	4290
83	389	4247
84	390	4206
85	391	4166
86	393	4129
87	394	4091
88	395	4052
89	397	4015
90	398	3978
91	399	3945
92	400	3910
93	402	3881
94	404	3849
95	405	3816
96	406	3784
97	407	3752
98	408	3722
99	410	3691
100	411	3661
101	412	3632
102	414	3605
103	415	3579
104	416	3553
105	418	3528
106	419	3502
107	420	3476
108	422	3451
109	423	3425
110	424	3400
111	425	3374
112	426	3349
113	428	3331
114	429	3308
115	431	3289
116	432	3265
117	433	3243
118	435	3226
119	437	3205
120	438	3184
121	439	3161
122	440	3140
123	441	3120
124	443	3104
125	445	3088
126	446	3069
127	448	3052
128	449	3035
129	450	3016
130	451	2998
131	453	2980
132	454	2960
133	455	2942
134	458	2937
135	460	2923
136	461	2907
137	462	2891
138	464	2877
139	465	2861
140	467	2845
141	467	2826
142	469	2811
143	470	2796
144	471	2782
145	473	2768
146	474	2755
147	476	2741
148	477	2726
149	478	2713
150	480	2699
151	481	2685
152	482	2670
153	483	2656
154	484	2643
155	486	2631
156	487	2619
157	489	2609
158	491	2597
159	492	2585
160	493	2570
161	494	2558
162	495	2546
163	496	2533
164	498	2520
165	499	2508
166	500	2498
167	503	2492
168	504	2481
169	505	2469
170	507	2458
171	508	2447
172	509	2436
173	511	2425
174	513	2418
175	514	2409
176	516	2401
177	517	2391
178	519	2382
179	520	2372
180	522	2362
181	523	2352
182	524	2342
183	526	2333
184	527	2323
185	528	2313
186	530	2306
187	532	2300
188	534	2291
189	535	2282
190	536	2273
191	537	2263
192	539	2254
193	540	2245
194	541	2235
195	542	2226
196	544	2219
197	546	2211
198	547	2205
199	549	2197
200	550	2189
201	552	2181
202	553	2173
203	554	2164
204	556	2156
205	557	2148
206	558	2140
207	560	2134
